year,globalterrorism,abbr,femadec,state,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,race2,pres2,ideology2,church2,prayer2,unemploy
2012,8481,LA,89,Louisiana,0,L000550,1/3/15,Mary,Landrieu,Catholic,,,,,,,1,0,0,299,49702,1546,300063,112,F,sen,1/6/09,1/3/15,0,2,Democrat,-0.237,1,0,0,D,NULL,NULL,1,0,0.6806358,2.877168,3.592163,3.3589,2.58237,7.1
2008,4785,NJ,0,New Jersey,0,L000123,6/3/13,Frank,Lautenberg,Jew,,,1,,,,,0,0,10943,14914,1381,300064,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.482,0,0,0,D,NULL,NULL,0,0,0.7839367,3.216308,3.341629,4.052154,4.167437,5.4
2014,16834,NJ,0,New Jersey,1,L000123,6/3/13,Frank,Lautenberg,Jew,,,1,,,,,0,0,11536,14914,1381,300064,113,M,sen,1/6/09,6/3/13,0,2,Democrat,-0.5,0,0,0,D,1,1,NULL,NULL,0.7123724,2.778489,3.23852,4.265515,4.005762,6.7
2010,4805,NJ,30,New Jersey,0,L000123,6/3/13,Frank,Lautenberg,Jew,,,1,,,,,0,0,10945,14914,1381,300064,111,M,sen,1/6/09,6/3/13,0,2,Democrat,-0.491,0,0,0,D,NULL,NULL,0,0,0.7539411,2.835165,3.33059,3.924502,3.439945,9.3
2006,2743,NJ,4,New Jersey,0,L000123,6/3/13,Frank,Lautenberg,Jew,,,1,,,,,0,0,10942,14914,1381,300064,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.472,0,0,0,D,NULL,NULL,0,0,0.7015644,2.936145,3.241169,2.924666,2.972054,4.8
2012,8481,NJ,45,New Jersey,0,L000123,6/3/13,Frank,Lautenberg,Jew,,,1,,,,,0,0,10944,14914,1381,300064,112,M,sen,1/6/09,6/3/13,0,2,Democrat,-0.5,0,0,0,D,NULL,NULL,0,0,0.7106667,2.602007,3.205333,4.023349,3.606404,9.5
2006,2743,VT,0,Vermont,0,L000174,1/3/23,Patrick,Leahy,Catholic,,,,,,,1,0,0,1486,14307,1383,300065,109,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.435,0,1,0,D,NULL,NULL,0,1,0.9066667,3.162162,3.097222,3.189189,3.315068,3.6
2014,16834,VT,14,Vermont,0,L000174,1/3/23,Patrick,Leahy,Catholic,,,,,,,1,0,0,11223,14307,1383,300065,113,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.452,0,0,0,D,1,NULL,1,0,0.9179105,2.761194,3.119403,4.744361,4.609023,4.2
2010,4805,VT,3,Vermont,0,L000174,1/3/23,Patrick,Leahy,Catholic,,,,,,,1,0,0,1488,14307,1383,300065,111,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.446,1,0,0,D,NULL,NULL,1,0,0.8969072,2.28866,2.835052,4.309278,3.659794,6.2
2012,8481,VT,3,Vermont,0,L000174,1/3/23,Patrick,Leahy,Catholic,,,,,,,1,0,0,1489,14307,1383,300065,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.452,1,0,0,D,NULL,NULL,1,0,0.9496855,2.45283,3.119497,4.584906,4.132075,5.1
2008,4785,VT,12,Vermont,0,L000174,1/3/23,Patrick,Leahy,Catholic,,,,,,,1,0,0,1487,14307,1383,300065,110,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.441,1,0,0,D,NULL,NULL,1,0,0.9736842,3.486726,3.052632,4.473684,3.9375,4.9
2014,16834,UT,0,Utah,0,L000577,1/3/23,Mike,Lee,Mormon,,,,1,,,,0,0,11225,41110,2080,412495,113,M,sen,1/5/11,1/3/17,0,3,Republican,0.999,0,0,0,R,1,NULL,0,1,0.8826087,3.179039,3.515217,3.5,3.326797,3.9
2012,8481,UT,7,Utah,0,L000577,1/3/23,Mike,Lee,Mormon,,,,1,,,,0,0,1498,41110,2080,412495,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.999,0,0,0,R,NULL,NULL,0,0,0.8719851,3.03352,3.504638,3.30855,2.998145,5.8
2010,4805,FL,0,Florida,2,L000572,1/3/11,George,LeMieux,Catholic,,,,,,,1,0,0,10153,40911,1971,412380,111,M,sen,9/10/09,12/22/10,0,3,Republican,0.385,0,0,0,R,NULL,NULL,0,0,0.7195953,2.897312,3.454966,3.895861,3.226993,11.1
2008,4785,MI,12,Michigan,0,L000261,1/3/15,Carl,Levin,Jew,,,1,,,,,0,0,315,14709,1384,300066,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.453,1,0,0,D,NULL,NULL,1,0,0.8723404,3.259188,3.411992,3.776596,3.387475,8.3
