bioguide,state,end_last_term,first,last,AA,Hisp
R000462,NJ,1/3/13,Steven,Rothman,,
R000465,NJ,1/3/03,Marge,Roukema,,
R000605,SD,1/3/21,Mike,Rounds,,
R000603,NC,1/3/19,David,Rouzer,,
R000481,GA,1/3/95,James,Rowland,,
R000486,CA,1/3/19,Lucille,Roybal-Allard,,1
R000487,CA,1/3/19,Edward,Royce,,
R000595,FL,1/3/23,Marco,Rubio,,1
R000599,CA,1/3/19,Raul,Ruiz,,1
R000594,NJ,1/3/15,Jon,Runyan,,
R000576,MD,1/3/19,C.,Ruppersberger,,
R000515,IL,1/3/19,Bobby,Rush,1,
R000604,OK,1/3/19,Steve,Russell,,
R000609,FL,1/3/19,John,Rutherford,,
R000570,WI,1/3/19,Paul,Ryan,,
R000577,OH,1/3/19,Tim,Ryan,,
R000566,KS,1/3/07,Jim,Ryun,,
S001177,MP,1/3/19,Gregorio,Sablan,,
S000005,MN,1/3/07,Martin,Sabo,,
S001163,CO,1/21/09,Ken,Salazar,,1
S001158,CO,1/3/11,John,Salazar,,1
S001167,ID,1/3/09,Bill,Sali,,
S000018,AZ,1/3/17,Matt,Salmon,,
S000030,CA,1/3/17,Loretta,Sanchez,,1
S000033,VT,1/3/19,Bernard,Sanders,,
S000044,TX,1/3/05,Max,Sandlin,,
S000051,SC,1/3/19,Marshall,Sanford,,
S000056,IL,1/3/95,George,Sangmeister,,
S000059,PA,1/3/07,Richard,Santorum,,
S000064,MD,1/3/07,Paul,Sarbanes,,
S001168,MD,1/3/19,John,Sarbanes,,
S000066,TX,1/3/95,William,Sarpalius,,
S001197,NE,1/3/21,Benjamin,Sasse,,
S000068,TN,1/3/95,James,Sasser,,
S000094,OH,1/3/03,Thomas,Sawyer,,
S000097,NJ,1/3/09,H.,Saxton,,
S001176,LA,1/3/19,Steve,Scalise,,
S000106,FL,9/5/01,Joe,Scarborough,,
S000109,CO,1/3/99,Daniel,Schaefer,,
S000112,CO,1/3/03,Bob,Schaffer,,
S001145,IL,1/3/19,Janice,Schakowsky,,
S001194,HI,1/3/23,Brian,Schatz,,
S001178,MI,1/3/11,Mark,Schauer,,
S000119,CA,1/3/95,Lynn,Schenk,,
S000125,NM,3/25/98,Steven,Schiff,,
S001150,CA,1/3/19,Adam,Schiff,,
S001182,IL,1/3/13,Robert,Schilling,,
S001164,OH,1/3/13,Jean,Schmidt,,
S001190,IL,1/3/19,Bradley,Schneider,,
S001179,IL,3/31/15,Aaron,Schock,,
S001180,OR,1/3/19,Kurt,Schrader,,
S001151,VA,1/3/05,Edward,Schrock,,
S000142,CO,1/3/97,Patricia,Schroeder,,
S000148,NY,1/3/23,Charles,Schumer,,
S001162,PA,1/3/15,Allyson,Schwartz,,
S001161,MI,1/3/07,John,Schwarz,,
S001183,AZ,1/3/19,David,Schweikert,,
S001189,GA,1/3/19,Austin,Scott,,
S001157,GA,1/3/19,David,Scott,1,
S000185,VA,1/3/19,Robert,Scott,1,
S001184,SC,1/3/23,Tim,Scott,1,
S000213,CA,1/3/97,Andrea,Seastrand,,
S001166,TX,1/3/07,Shelley,Sekula-Gibbs,,
S000244,WI,1/3/19,F.,Sensenbrenner,,
S000248,NY,1/3/19,Jos,Serrano,,1
S001141,AL,2/8/17,Jefferson,Sessions,,
S000250,TX,1/3/19,Pete,Sessions,,
S001169,PA,1/3/11,Joe,Sestak,,
S001185,AL,1/3/19,Terri,Sewell,1,
S000275,AZ,1/3/11,John,Shadegg,,
S001181,NH,1/3/21,Jeanne,Shaheen,,
S000294,IN,1/3/95,Philip,Sharp,,
S000303,FL,1/3/07,E.,Shaw,,
S001144,CT,1/3/09,Christopher,Shays,,
S001170,NH,1/3/19,Carol,Shea-Porter,,
S000320,AL,1/3/23,Richard,Shelby,,
S000332,UT,1/3/95,Karen,Shepherd,,
S000344,CA,1/3/19,Brad,Sherman,,
S001146,PA,1/3/07,Donald,Sherwood,,
S000364,IL,1/3/19,John,Shimkus,,
S001147,MS,1/3/03,Ronnie,Shows,,
S001171,NC,1/3/13,Heath,Shuler,,
S000394,PA,2/5/01,Elmer,Shuster,,
S001154,PA,1/3/19,Bill,Shuster,,
S001152,CT,1/3/07,Robert,Simmons,,
S000423,IL,1/3/97,Paul,Simon,,
S000429,WY,1/3/97,Alan,Simpson,,
S001148,ID,1/3/19,Michael,Simpson,,
S001191,AZ,1/3/19,Kyrsten,Sinema,,
S001165,NJ,1/3/19,Albio,Sires,,1
S000453,VA,3/29/01,Norman,Sisisky,,
S000462,CO,1/3/99,David,Skaggs,,
S000463,NM,1/3/03,Joseph,Skeen,,
S000465,MO,1/3/11,Ike,Skelton,,
S000477,KS,1/3/95,James,Slattery,,
S000480,NY,1/3/19,Louise,Slaughter,,
S000596,IA,1/3/95,Neal,Smith,,
S000606,NH,1/3/03,Robert,Smith,,
S000587,WA,1/3/99,Linda,Smith,,
S000607,OR,1/3/99,Robert,Smith,,
S001142,OR,1/3/09,Gordon,Smith,,
S000597,MI,1/3/05,Nick,Smith,,
S000510,WA,1/3/19,Adam,Smith,,
S001172,NE,1/3/19,Adrian,Smith,,
S000522,NJ,1/3/19,Christopher,Smith,,
S000583,TX,1/3/19,Lamar,Smith,,
S001195,MO,1/3/19,Jason,Smith,,
S001199,PA,1/3/19,Lloyd,Smucker,,
S001156,CA,1/3/19,Linda,Snchez,,
S000662,KS,1/3/99,Vincent,Snowbarger,,
S000663,ME,1/3/13,Olympia,Snowe,,
S000672,AR,1/3/11,Victor,Snyder,,
S001160,IN,1/3/07,Michael,Sodrel,,
S001153,CA,2/24/09,Hilda,Solis,,1
S000675,NY,1/3/99,Gerald,Solomon,,
S001200,FL,1/3/19,Darren,Soto,,1
S001143,IN,5/21/10,Mark,Souder,,
S001186,FL,1/3/15,Steve,Southerland,,
S001173,OH,1/3/11,Zachary,Space,,
S000709,PA,1/3/11,Arlen,Specter,,
S001175,CA,1/3/19,Jackie,Speier,,
S000718,SC,8/16/01,Floyd,Spence,,
S000749,SC,1/3/11,John,Spratt,,
S000770,MI,1/3/19,Debbie,Stabenow,,
S000810,CA,1/3/13,Fortney,Stark,,
S000822,FL,1/3/13,Clifford,Stearns,,
S001196,NY,1/3/19,Elise,Stefanik,,
S000851,TX,1/3/05,Charles,Stenholm,,
S000888,AK,1/3/09,Ted,Stevens,,
S001192,UT,1/3/19,Chris,Stewart,,
S001187,OH,1/3/19,Steve,Stivers,,
S000937,TX,1/3/15,Steve,Stockman,,
S000948,OH,1/3/99,Louis,Stokes,1,
S001202,AL,1/3/21,Luther,Strange,,
S001004,OH,1/3/07,Ted,Strickland,,
S001040,MA,1/3/97,Gerry,Studds,,
S001044,AZ,1/3/03,Robert,Stump,,
S001045,MI,1/3/11,Bart,Stupak,,
S001188,IN,1/3/17,Marlin,Stutzman,,
S001155,OK,1/3/13,John,Sullivan,,
S001198,AK,1/3/21,Dan,Sullivan,,
S001075,TN,1/3/95,Donald,Sundquist,,
S001078,NH,1/3/09,John,Sununu,,1
S001201,NY,1/3/19,Thomas,Suozzi,,
S001174,OH,1/3/13,Betty,Sutton,,
S001193,CA,1/3/19,Eric,Swalwell,,
S001149,NY,1/3/07,John,Sweeney,,
S001113,NH,1/3/95,Richard,Swett,,
S001115,WA,1/3/95,Allan,Swift,,
S001139,OK,1/3/95,Michael,Synar,,
T000473,HI,7/20/16,Mark,Takai,,
T000472,CA,1/3/19,Mark,Takano,,
T000024,MO,1/3/07,James,Talent,,
T000458,CO,1/3/09,Thomas,Tancredo,,
T000038,TN,1/3/11,John,Tanner,,
T000048,WA,1/3/97,Randy,Tate,,
T000057,CA,6/26/09,Ellen,Tauscher,,
T000058,LA,1/3/05,William,Tauzin,,
T000067,NC,1/3/07,Charles,Taylor,,
T000074,MS,1/3/11,Gene,Taylor,,
T000477,VA,1/3/19,Scott,Taylor,,
T000466,NM,1/3/11,Harry,Teague,,
T000113,TX,1/30/97,Frank,Tejeda,,1
T000478,NY,1/3/19,Claudia,Tenney,,
T000459,NE,1/3/15,Lee,Terry,,
T000464,MT,1/3/19,Jon,Tester,,
T000188,CA,1/3/07,William,Thomas,,
T000162,WY,6/4/07,Craig,Thomas,,
T000457,TN,1/3/03,Fred,Thompson,,
T000193,MS,1/3/19,Bennie,Thompson,1,
T000460,CA,1/3/19,Mike,Thompson,,
T000467,PA,1/3/19,Glenn,Thompson,,
T000238,TX,1/3/19,Mac,Thornberry,,
T000243,AR,1/3/97,Raymond,Thornton,,
T000250,SD,1/3/23,John,Thune,,
T000253,FL,1/3/03,Karen,Thurman,,
T000254,SC,1/3/03,J.,Thurmond,,
T000260,KS,1/3/11,Todd,Tiahrt,,
T000462,OH,1/3/19,Patrick,Tiberi,,
T000266,MA,1/3/15,John,Tierney,,
T000476,NC,1/3/21,Thom,Tillis,,
T000470,CO,1/3/19,Scott,Tipton,,
T000468,NV,1/3/19,Dina,Titus,,
T000469,NY,1/3/19,Paul,Tonko,,
T000461,PA,1/3/23,Patrick,Toomey,,
T000314,MA,1/3/97,Peter,Torkildsen,,
T000316,CA,1/3/99,Esteban,Torres,,1
T000474,CA,1/3/19,Norma,Torres,,1
T000317,NJ,1/3/03,Robert,Torricelli,,
T000326,NY,1/3/13,Edolphus,Towns,1,
T000350,OH,7/24/02,James,Traficant,,
T000475,MI,1/3/19,Dave,Trott,,
T000465,MA,1/3/19,Niki,Tsongas,,
T000405,CA,12/15/95,Walter,Tucker,1,
T000424,TX,1/3/05,James,Turner,,
T000471,NY,1/3/13,Robert,Turner,,
T000463,OH,1/3/19,Michael,Turner,,
U000038,CO,1/3/15,Mark,Udall,,
U000039,NM,1/3/21,Tom,Udall,,
U000014,GU,1/3/03,Robert,Underwood,,
U000017,WA,1/3/95,Jolene,Unsoeld,,
U000031,MI,1/3/19,Fred,Upton,,
V000129,CA,1/3/19,David,Valadao,,
V000006,NC,1/3/95,Itimous,Valentine,,
V000128,MD,1/3/23,Chris,Van Hollen,,
V000130,CA,1/3/19,Juan,Vargas,,1
V000131,TX,1/3/19,Marc,Veasey,1,
V000132,TX,1/3/19,Filemon,Vela,,1
V000081,NY,1/3/19,Nydia,Velzquez,,1
V000087,MN,1/3/01,Bruce,Vento,,
V000108,IN,1/3/19,Peter,Visclosky,,
V000127,LA,1/3/17,David,Vitter,,
V000126,OH,1/3/11,George,Voinovich,,
V000112,MO,1/3/97,Harold,Volkmer,,
V000124,NV,1/3/97,Barbara,Vucanovich,,1
W000812,MO,1/3/19,Ann,Wagner,,
W000798,MI,1/3/19,Tim,Walberg,,
W000791,OR,1/3/19,Greg,Walden,,
W000068,PA,1/3/97,Robert,Walker,,
W000819,NC,1/3/19,Mark,Walker,,
W000092,WY,1/3/95,Malcolm,Wallop,,
W000813,IN,1/3/19,Jackie,Walorski,,
W000099,NY,1/3/09,James,Walsh,,
W000811,IL,1/3/13,Joe,Walsh,,
W000818,MT,1/3/15,John,Walsh,,
W000820,CA,1/3/19,Mimi,Walters,,
W000799,MN,1/3/19,Timothy,Walz,,
W000119,TN,1/3/11,Zach,Wamp,,
W000139,KY,1/3/97,Michael,Ward,,
W000154,VA,1/3/09,John,Warner,,
W000805,VA,1/3/21,Mark,Warner,,
W000817,MA,1/3/19,Elizabeth,Warren,,
W000177,TX,1/3/95,Craig,Washington,1,
W000797,FL,1/3/19,Debbie,Wasserman Schultz,,
W000187,CA,1/3/19,Maxine,Waters,1,
W000194,OK,1/3/03,Wes,Watkins,,
W000794,CA,1/3/11,Diane,Watson,1,
W000822,NJ,1/3/19,Bonnie,Watson Coleman,1,
W000207,NC,1/6/14,Melvin,Watt,1,
W000210,OK,1/3/03,J.C.,Watts,1,
W000215,CA,1/3/15,Henry,Waxman,,
W000803,VA,1/3/13,Jim,Webb,,
W000814,TX,1/3/19,Randy,Weber,,
W000806,FL,1/3/19,Daniel,Webster,,
W000792,NY,6/21/11,Anthony,Weiner,,
W000800,VT,1/3/19,Peter,Welch,,
W000268,PA,1/3/07,W.,Weldon,,
W000267,FL,1/3/09,David,Weldon,,
W000273,IL,1/3/09,Gerald,Weller,,
W000288,MN,10/25/02,Paul,Wellstone,,
W000815,OH,1/3/19,Brad,Wenstrup,,
W000807,FL,1/3/13,Allen,West,1,
W000821,AR,1/3/19,Bruce,Westerman,,
W000796,GA,1/3/17,Lynn,Westmoreland,,
W000314,FL,1/4/10,Robert,Wexler,,
W000315,RI,1/3/01,Robert,Weygand,,
W000326,MO,1/3/95,Alan,Wheat,1,
W000391,WA,1/3/99,Richard,White,,
W000802,RI,1/3/19,Sheldon,Whitehouse,,
W000413,KY,9/7/16,Ed,Whitfield,,
W000428,MS,1/3/95,Jamie,Whitten,,
W000437,MS,1/3/19,Roger,Wicker,,
W000520,MT,1/3/97,John,Williams,,
W000816,TX,1/3/19,Roger,Williams,,
W000570,TX,1/3/97,Charles,Wilson,,
W000789,NM,1/3/09,Heather,Wilson,,
W000801,OH,1/3/11,Charles,Wilson,,
W000795,SC,1/3/19,Joe,Wilson,,
W000808,FL,1/3/19,Frederica,Wilson,1,
W000654,WV,1/3/01,Robert,Wise,,
W000804,VA,1/3/19,Robert,Wittman,,
W000665,PA,1/3/95,Harris,Wofford,,
W000672,VA,1/3/15,Frank,Wolf,,
W000809,AR,1/3/19,Steve,Womack,,
W000810,GA,1/3/19,Rob,Woodall,,
W000738,CA,1/3/13,Lynn,Woolsey,,
W000793,OR,8/3/11,David,Wu,,
W000779,OR,1/3/23,Ron,Wyden,,
W000784,MD,5/31/08,Albert,Wynn,1,
Y000062,KY,1/3/19,John,Yarmuth,,
Y000013,IL,1/3/99,Sidney,Yates,,
Y000063,KS,1/3/19,Kevin,Yoder,,
Y000065,FL,1/3/19,Ted,Yoho,,
Y000031,FL,10/18/13,C.,Young,,
Y000033,AK,1/3/19,Don,Young,,
Y000064,IN,1/3/23,Todd,Young,,
Y000066,IA,1/3/19,David,Young,,
Z000017,NY,1/3/19,Lee,Zeldin,,
Z000004,NH,1/3/97,William,Zeliff,,
Z000008,NJ,1/3/97,Richard,Zimmer,,
Z000018,MT,1/3/19,Ryan,Zinke,,
